,created_at,login,name,type,company,location,contributions,public_repos,followers,following
0,2015,StanSilas,Stan Silas(Vivek Mangipudi),User,@DataforDemocracy,"Dallas, TX",,112,7,77
1,2013,daoxunchen,Welthy,User,,,,17,0,9
2,2013,wowlusitong,卢思侗,User,,"Harbin, China",,27,42,73
3,2014,FredWe,Fred,User,NEET,Beijing,,44,57,337
4,2017,Martin2877,Ali0th,User,,,,35,23,243
5,2016,ChenGuangHN,,User,,,,5,1,4
6,2012,starrysoul,,User,,,,6,2,10
7,2013,huangshuwei,Huang ShuWei,User,@eastmoney,ShangHai China,,30,113,133
8,2011,chickenlove,Qthrones,User,,,,530,10,79
9,2012,loveshell,,User,,,,416,442,509
10,2016,zhangjing9898,,User,@alibaba,杭州,,90,21,41
11,2014,duqb,Jack Du,User,,,,28,18,268
12,2016,yuanjingsong,,User,,,,30,10,48
13,2011,tinytang,,User,,,,21,19,1396
14,2013,FilipposM,Filippos Mastrogiannis,User,,"Athens, Greece",,29,212,898
15,2015,undersunshine1020,,User,,,,16,2,21
16,2016,plebsX,,User,,,,6,2,1
17,2016,Starxyz,,User,,,,14,2,26
18,2015,Fly-Bird,李亚州,User,,China,,24,0,17
19,2017,pythontalk,,User,,,,0,0,1
20,2017,PracNeyman,,User,,,,28,7,24
21,2016,lcf12307,lcf12307,User,,,,17,4,11
22,2011,carlos-wong,carlos,User,Lejurobot.com,"china, shenzhen",,135,44,17
23,2016,codyi96,Charley,User,,,,7,1,18
24,2017,Zijianlalala,Zijian Wu,User,,Qingdao/Tai'an China,,26,7,14
25,2014,binderclip,clip,User,@xiachufang ,Beijing,,44,113,50
26,2017,Xuxudong166,,User,,,,7,2,16
27,2017,liziwenzzzz,wa!,User,,,,31,7,82
28,2016,gprj,roy,User,,,,6,3,10
29,2012,JaySun1314,,User,,,,13,12,21
30,2012,cobain,Cobain,User,,"Xi'an, China",,35,39,178
31,2017,YouEzreal,,User,,,,0,0,3
32,2014,linkcheng,linkcheng,User,,Shanghai,,19,5,28
33,2016,melllllllllllll,MaErLe,User,,China,,9,2,3
34,2017,pinylin,,User,,,,17,9,81
35,2016,daniellauyu,daniel lau,User,,,,8,1,6
36,2017,Giotto110,,User,,,,3,0,6
37,2013,foukation,,User,,,,330,8,46
38,2016,Cyberman-Dalek,,User,,,,2,0,6
39,2014,201419,Daniel Shu Yang,User,,Shenzhen University,,10,7,28
40,2016,Tao-Chan,taochen94,User,,,,8,0,3
41,2014,zzxT,zzx,User,,"China,Beijing",,54,7,52
42,2017,paobainsist,,User,,,,1,0,1
43,2015,zhangtianxiang,ZhangTianxiang,User,Fudan University,Shanghai China,,10,15,16
44,2016,soukakei,柿子君,User,,,,2,0,2
45,2015,ZhangYangDev,ZhangYang,User,,ShangHai,,8,2,83
46,2017,BurningNeverCry,白少,User,,,,21,1,4
47,2014,jimingye,Jiming Ye,User,,New York,,10,4,22
48,2012,hesling,hesling,User,,,,152,10,130
49,2017,proteincraft,,User,,,,2,0,1
50,2012,commodus,,User,,,,16,23,611
51,2014,jiyiren,jiyiren,User,,jiangsu suzhou,,66,46,100
52,2016,lx-eotk,lx-eotk,User,,China,,5,2,15
53,2017,Annguwenen,Annguowenwen,User,,,,0,1,7
54,2012,zhangxiaoyang,Yang Zhang,User,Tencent,Beijing,,74,120,61
55,2015,zsluedem,will,User,,,,41,15,39
56,2014,q15866188,,User,,,,24,1,84
57,2016,archervanderwaal,Archer VanderWaal,User,@Meituan,BeiJing,,52,52,74
58,2016,CranzCapatain,Cranz,User,,HangZhou,,67,4,13
59,2014,augustuslin,Yijun Lin,User,Peking University,"Beijing, China",,4,1,3
60,2016,leeyuanhe,leeyuanhe,User,,"Beijing,China",,13,1,19
61,2015,DerekTso,Derek,User,,,,31,18,453
